"source","target","note"
"555","哈哈哈","泰语数字5读作ห้า；连续多个5表示笑声"
"55555","哈哈哈哈","连续多个5表示大笑；无需逐个数字保留"
"กดบัตร","抢票/买票","演唱会语境通常译为抢票"
"กรี๊ด","尖叫/啊啊啊","网络语境常表达兴奋，不一定是真实尖叫"
"กวิน","Gawin","GMMTV艺人昵称；根据语境与其他同名人物区分"
"กวิน แคสกี้","Gawin Caskey","GMMTV艺人全名"
"ข้าวตัง","Khaotung","GMMTV艺人昵称；人名语境不要译为米钱"
"ข้าวตัง ธนวัฒน์ รัตนกิจไพศาล","Khaotung Thanawat","GMMTV艺人全名"
"คุณเขา","他/她/那位","带礼貌或亲昵感；词本身不标示性别"
"คู่จริง","现实情侣/真情侣","高风险表述；必须结合可靠上下文判断"
"คู่จิ้น","荧幕CP/热门配对","不代表人物在现实中存在恋爱关系"
"งานประกาศรางวัล","颁奖礼","活动类别"
"งานเปิดตัว","发布会/首发活动","根据产品、品牌或影视作品语境处理"
"จตุจักร","乍都乍/Chatuchak","曼谷地区名；中文译名按项目规范统一"
"จอส","Joss","GMMTV艺人昵称；人名语境保留英文"
"จอส เวอาห์ แสงเงิน","Joss Way-ar","GMMTV艺人全名"
"จอส-กวิน","Joss-Gawin","GMMTV艺人组合名；带连字符写法"
"จอสกวิน","JossGawin","GMMTV艺人组合名；作为整体识别"
"จิมมี่","Jimmy","GMMTV艺人昵称；人名语境保留英文"
"จิมมี่ จิตรพล โพธิวิหค","Jimmy Jitaraphol","GMMTV艺人全名"
"จิมมี่-ซี","Jimmy-Sea","GMMTV艺人组合名；带连字符写法"
"จิมมี่ซี","JimmySea","GMMTV艺人组合名；作为整体识别"
"จุง","Joong","GMMTV艺人昵称；保留英文拼写"
"จุง อาเชน ไอย์ดึน","Joong Archen","GMMTV艺人全名"
"จุงดัง","JoongDunk","GMMTV艺人组合名；作为整体识别"
"จุดลงทะเบียน","签到处/登记点","活动现场指引"
"จูเนียร์","Junior","GMMTV艺人昵称；人名语境不要译为年少者"
"จูเนียร์ ปณชัย ศรีอาริยะรุ่งเรือง","Junior Panachai","GMMTV艺人全名"
"จูเนียร์-มาร์ค","Junior-Mark","GMMTV艺人组合名；带连字符写法"
"จูเนียร์มาร์ค","JuniorMark","GMMTV艺人组合名；作为整体识别"
"ชิป","嗑CP","可作动词；根据语境也可能是英文ship的其他含义"
"ชิปเปอร์","CP粉","指支持某一艺人配对的粉丝"
"ช็อตฟีล","瞬间下头/气氛被打断","英泰混成网络词；按具体语气翻译"
"ซาวด์เช็ก","彩排观摩/Soundcheck","可能是高票档福利；根据活动说明处理"
"ซี ทวินันท์","Sea Tawinan","GMMTV艺人常用名；不要与DMD艺人Zee混淆"
"ซี ทวินันท์ อนุกูลประเสริฐ","Sea Tawinan Anukoolprasert","GMMTV艺人全名"
"ดัง","Dunk","GMMTV艺人昵称；人名语境不要按泰语普通词义翻译"
"ดัง ณัฎฐ์ฐชัย บุญประเสริฐ","Dunk Natachai","GMMTV艺人全名"
"ดูย้อนหลัง","回看/观看回放","剧集、节目和直播文案高频词"
"ด้อม","粉丝圈","泰娱粉丝文化用语"
"ตกคน","圈粉","指艺人或某个片段吸引了新粉丝"
"ติดเทรนด์","上趋势/上热搜","表示话题进入平台趋势榜"
"ติ่ง","追星/粉丝","泰语网络口语；可中性自称，也可能带调侃意味"
"ถ่ายทอดสด","直播","可指电视或网络直播"
"ธันเดอร์โดม","Thunder Dome","演唱会及活动场馆专名"
"ธันเดอร์โดม เมืองทองธานี","Thunder Dome（蒙通他尼）","位于IMPACT会展区附近"
"นานิ","Nani","GMMTV艺人昵称；根据语境与其他含义区分"
"นานิ หิรัญกฤษฎิ์","Nani Hirunkit","GMMTV艺人常用名"
"นานิ หิรัญกฤษฎิ์ ช่างคำ","Nani Hirunkit Changkham","GMMTV艺人全名"
"น่ารัก","可爱","高频评价词"
"น้อง","弟弟/妹妹","也可能是亲昵称呼，不一定表示亲属"
"น้องเนย","农妮","艺人昵称；根据具体语境使用"
"บัตรหมด","票已售罄","活动票务语境"
"บุ๊ค","Book","GMMTV艺人昵称；人名语境不要译为书"
"บุ๊ค กษิดิ์เดช ปลูกผล","Book Kasidet","GMMTV艺人全名"
"บุ๋น","Boun","GMMTV艺人昵称；注意泰文声调符号"
"บุ๋น นพณัฐ กันทะชัย","Boun Noppanut","GMMTV艺人全名"
"บุ๋น-เปรม","Boun-Prem","GMMTV艺人组合名；带连字符写法"
"บุ๋นเปรม","BounPrem","GMMTV艺人组合名；作为整体识别"
